,word,pos_tag,tag_type,sentence
0,johensley,NNP,PROPN,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
1,darcyshepherd,NNP,PROPN,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
2,jeffreyguterman,NNP,PROPN,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
3,realdonaldtrump,VB,VERB,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
4,different,JJ,ADJ,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
5,vaccine,NN,NOUN,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
6,different,JJ,ADJ,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
7,ingredient,NN,NOUN,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
8,take,VB,VERB,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
9,covid,JJ,ADJ,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
10,second,JJ,ADJ,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
11,efficacy,NN,NOUN,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
12,fine,NN,NOUN,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
13,also,RB,ADV,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
14,thevaccine,VBP,VERB,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
